Fuel_Type,Body_Type,Kilometers_Driven,Registration_Year,Car_Model,Ownership,Features,Engine_Power,Mileage,Car_Link,Price,Car_Age
Petrol,SUV,"20,000",2022,Kia Sonet,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",118.36bhp,,https://www.cardekho.com/used-car-details/used-Kia-Sonet-Turbo-Dct-Anniversary-Edition-cars-Chennai_9a50ab47-7b87-4649-951d-fadcf4f77ceb.htm,₹ 11.50 Lakh,2022
Petrol,Minivans,"20,687",Feb 2015,Maruti Eeco,First Owner,"Low Fuel Warning Light, Accessory Power Outlet, Heater, Digital Odometer, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Child Safety Locks",73bhp,15.37 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Eeco-7-Seater-Standard-Bsiv-cars-Chennai_c4e26c01-7343-4a41-abd4-cf0dd2397abb.htm,₹ 4.15 Lakh,2015
Petrol,SUV,"30,000",2021,Nissan Magnite,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",98.63bhp,20 kmpl,https://www.cardekho.com/used-car-details/used-Nissan-Magnite-Turbo-Xv-Premium-Bsvi-cars-Chennai_a2ecb24b-f894-4140-9447-11fbab0a5757.htm,₹ 7.50 Lakh,2021
Petrol,Hatchback,"59,247",May 2015,Hyundai i10,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player",68.05bhp,19.81 kmpl,https://www.cardekho.com/buy-used-car-details/used-Hyundai-I10-Sportz-1.1l-cars-Chennai_ef2047fb-1176-459a-93a8-18ba8b008604.htm,₹ 3.98 Lakh,2015
Petrol,Hatchback,"50,000",2015,Honda Jazz,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",88.7bhp,18.7 kmpl,https://www.cardekho.com/used-car-details/used-Honda-Jazz-1.2-Vx-I-Vtec-cars-Chennai_313aadd0-a70e-46bc-ad27-8e31a3520ca9.htm,₹ 5.50 Lakh,2015
Diesel,Sedan,"20,000",Sept 2017,Mercedes-Benz E-Class,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Cd Player",204bhp,13 kmpl,https://www.cardekho.com/used-car-details/used-Mercedes-benz-E-class-E250-Cdi-Avantgarde-cars-Chennai_2e4889d4-bc1f-4a8f-bf2e-a78f351f313f.htm,₹ 33 Lakh,2016
Petrol,Hatchback,"29,403",Aug 2016,Maruti Celerio,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",67.04bhp,23.1 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Celerio-Zxi-At-Optional-cars-Chennai_943ff58c-b2a9-4236-81f2-c64d0493cda6.htm,₹ 4.53 Lakh,2016
Petrol,Hatchback,"42,700",May 2010,Maruti A-Star,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Child Safety Locks, Cd Player",66.1bhp,19 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-A-star-Zxi-cars-Chennai_f25a158c-8fd6-4037-bccd-4792e0cc26a5.htm,₹ 2.85 Lakh,2010
Diesel,SUV,"23,001",Oct 2018,BMW X3,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",187.7bhp,16.55 kmpl,https://www.cardekho.com/used-car-details/used-Bmw-X3-Xdrive-20d-Luxury-Line-cars-Chennai_a11882ed-2d12-4fdf-bfdf-1481d4a0835e.htm,₹ 50 Lakh,2018
Petrol,SUV,"25,925",Sept 2018,Ford Ecosport,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",121.36bhp,14.8 kmpl,https://www.cardekho.com/buy-used-car-details/used-Ford-Ecosport-1.5-Petrol-Titanium-Plus-At-Bsiv-cars-Chennai_22bad10d-3d57-42f5-99e1-fde8bf4c24ba.htm,₹ 8.21 Lakh,2018
