Fuel_Type,Body_Type,Kilometers_Driven,Registration_Year,Car_Model,Engine_Power,Mileage,City,Ownership_Encoded,Star_Rating,Price
Petrol,Sedan,70000.0,2014.0,Toyota Camry,158.0,19.16,Kolkata,4,4,975000.0
Petrol,Hatchback,23981.0,2015.7157384987893,Datsun RediGO,53.0,22.7,Kolkata,1,4,266000.0
Petrol,SUV,7100.0,2015.7157384987893,Renault Kiger,71.0,19.03,Kolkata,1,4,595000.0
Petrol,Hatchback,71574.0,2015.7157384987893,Hyundai i20,80.0,19.25539987552513,Kolkata,3,4,223000.0
Diesel,SUV,50000.0,2014.0,Audi Q3,174.0,15.73,Kolkata,3,4,1200000.0
Petrol,Hatchback,35629.0,2015.7157384987893,Maruti Wagon R,81.0,20.52,Kolkata,1,4,425000.0
Petrol,Hatchback,11476.0,2015.7157384987893,Hyundai Santro,68.0,20.3,Kolkata,3,4,596000.0
Petrol,Hatchback,31000.0,2015.7157384987893,Renault KWID,53.0,25.17,Kolkata,1,4,250000.0
Petrol,Sedan,41005.0,2015.7157384987893,Maruti Swift Dzire,85.0,17.5,Kolkata,3,4,221000.0
Petrol,Hatchback,60055.0,2015.7157384987893,Maruti Wagon R,67.0,18.9,Kolkata,1,0,208000.0
Petrol,Hatchback,65005.0,2015.7157384987893,Maruti Swift,85.0,18.6,Kolkata,1,4,311000.0
Petrol,Hatchback,2657.0,2015.7157384987893,Renault KWID,53.0,22.3,Kolkata,1,4,464000.0
Petrol,Hatchback,16000.0,2015.7157384987893,Hyundai i10,68.0,19.81,Kolkata,1,4,205000.0
Diesel,SUV,7426.0,2015.7157384987893,Tata Harrier,167.0,14.6,Kolkata,1,4,2175000.0
Petrol,Hatchback,27046.0,2015.7157384987893,Maruti Baleno,83.0,21.4,Kolkata,1,4,643000.0
Diesel,SUV,30100.0,2015.7157384987893,Toyota Fortuner,174.0,15.04,Kolkata,1,4,3750000.0
Petrol,Hatchback,9000.0,2015.7157384987893,Maruti Wagon R,65.0,24.35,Kolkata,1,4,545000.0
Petrol,Hatchback,17000.0,2015.7157384987893,Hyundai i20,81.0,19.25539987552513,Kolkata,1,4,750000.0
Diesel,SUV,49200.0,2015.7157384987893,Jeep Compass,170.0,17.1,Kolkata,1,4,1650000.0
Petrol,Hatchback,35000.0,2015.7157384987893,Hyundai i10,68.0,19.81,Kolkata,3,4,225000.0
Diesel,SUV,30000.0,2020.0,Land Rover Range Rover Evoque,245.0,18.9,Kolkata,3,4,5990000.0
Petrol,Hatchback,54044.0,2015.7157384987893,Maruti Alto K10,67.0,23.95,Kolkata,1,4,315000.0
Petrol,SUV,6500.0,2015.7157384987893,Tata Nexon,118.0,17.33,Kolkata,1,4,799000.0
Petrol,Sedan,29159.0,2015.7157384987893,Maruti Ciaz,91.0,20.73,Kolkata,1,4,526000.0
Diesel,SUV,30000.0,2020.0,Land Rover Range Rover Evoque,245.0,18.9,Kolkata,3,4,5990000.0
Petrol,Sedan,31968.0,2015.7157384987893,Honda City,117.0,19.25539987552513,Kolkata,1,4,675000.0
Petrol,Hatchback,44150.0,2015.7157384987893,Hyundai Grand i10 Nios,81.0,20.7,Kolkata,3,4,612000.0
Petrol,Hatchback,60000.0,2010.0,Hyundai i20,80.0,19.25539987552513,Kolkata,1,4,189000.0
Petrol,SUV,25009.0,2015.7157384987893,Hyundai Creta,121.0,14.8,Kolkata,1,4,990000.0
Petrol,Hatchback,46469.0,2015.7157384987893,Maruti Swift,88.0,22.38,Kolkata,1,4,534000.0
Petrol,SUV,45000.0,2015.7157384987893,Hyundai Creta,121.0,19.25539987552513,Kolkata,1,4,800000.0
Petrol,Sedan,31577.0,2015.7157384987893,Hyundai Verna,113.0,17.7,Kolkata,1,4,983000.0
Petrol,Hatchback,56005.0,2015.7157384987893,Maruti Celerio,67.0,23.1,Kolkata,1,4,281000.0
Petrol,Hatchback,10005.0,2015.7157384987893,Maruti Wagon R,67.0,21.79,Kolkata,1,4,535000.0
Petrol,Hatchback,41163.0,2015.7157384987893,Hyundai Grand i10,81.0,18.9,Kolkata,1,4,475000.0
Diesel,Sedan,17839.0,2015.7157384987893,Mercedes-Benz E-Class,191.0,16.1,Kolkata,1,4,5300000.0
Petrol,Sedan,3800.0,2015.7157384987893,Toyota Yaris,105.0,17.1,Kolkata,1,4,695000.0
Petrol,Hatchback,34124.0,2015.7157384987893,Maruti Wagon R,67.0,21.79,Kolkata,1,4,395000.0
Diesel,Hatchback,50000.0,2012.0,Hyundai i20,90.0,21.9,Kolkata,3,4,200000.0
Petrol,Sedan,48168.0,2015.7157384987893,Honda City,117.0,17.4,Kolkata,1,4,750000.0
Diesel,MUV,20000.0,2019.0,Mahindra Marazzo,121.0,17.3,Kolkata,4,4,975000.0
Petrol,Sedan,56357.0,2015.7157384987893,Maruti Swift Dzire,85.0,19.25539987552513,Kolkata,1,4,480000.0
Petrol,Sedan,60000.0,2010.0,Maruti Swift Dzire,85.0,17.5,Kolkata,1,4,245000.00000000003
Petrol,Hatchback,10585.0,2015.7157384987893,Maruti Baleno,81.0,21.01,Kolkata,1,4,719000.0
Petrol,Sedan,50000.0,2012.0,Honda Civic,132.0,13.1,Kolkata,3,4,375000.0
Petrol,Sedan,60000.0,2010.0,Maruti Swift Dzire,85.0,17.5,Kolkata,1,4,245000.00000000003
Petrol,SUV,17642.0,2015.7157384987893,Hyundai Creta,113.0,18.9,Kolkata,1,4,1214000.0
Diesel,Hatchback,20000.0,2018.0,Tata Tiago,69.0,27.28,Kolkata,1,4,439000.0
Petrol,Hatchback,9157.0,2015.7157384987893,Hyundai Grand i10 Nios,81.0,20.7,Kolkata,1,4,753000.0
Petrol,Sedan,65979.0,2015.7157384987893,Honda Amaze,86.0,19.25539987552513,Kolkata,3,4,362000.0
Diesel,Sedan,65000.0,2015.7157384987893,Skoda Rapid,105.0,20.5,Kolkata,1,4,300000.0
Petrol,Hatchback,7940.0,2015.7157384987893,Datsun RediGO,67.0,22.5,Kolkata,3,4,389000.0
Petrol,Hatchback,100000.0,2010.0,Hyundai Santro Xing,62.0,18.9,Kolkata,2,4,115000.0
Diesel,Sedan,40000.0,2015.7157384987893,BMW 3 Series,181.0,16.07,Kolkata,1,4,865000.0
Petrol,Sedan,60000.0,2011.0,Fiat Linea,88.0,14.6,Kolkata,3,4,185000.0
Diesel,Sedan,19859.0,2015.7157384987893,BMW 5 Series,187.0,20.37,Kolkata,1,4,3950000.0
Petrol,SUV,7405.0,2015.7157384987893,Jeep Wrangler,268.0,12.1,Kolkata,1,4,6250000.0
Petrol,SUV,52922.0,2015.7157384987893,Honda BR-V,117.0,15.4,Kolkata,1,4,620000.0
Petrol,SUV,60000.0,2015.7157384987893,Ford Ecosport,110.0,15.85,Kolkata,1,4,350000.0
Petrol,Hatchback,32000.0,2015.7157384987893,Hyundai Grand i10,81.0,18.9,Kolkata,1,4,464000.0
Petrol,Hatchback,47739.0,2015.7157384987893,Honda Jazz,88.0,18.7,Kolkata,3,4,412000.0
Petrol,Hatchback,10717.0,2015.7157384987893,Maruti Alto K10,67.0,23.95,Kolkata,3,4,375000.0
Diesel,Sedan,41000.0,2015.7157384987893,Honda City,98.0,25.1,Kolkata,1,4,621000.0
Petrol,Hatchback,17619.0,2015.7157384987893,Hyundai Santro,68.0,20.3,Kolkata,3,4,443000.0
Petrol,Hatchback,9221.0,2015.7157384987893,Renault KWID,67.0,21.74,Kolkata,1,4,422000.0
Petrol,SUV,70000.0,2015.7157384987893,Honda WR-V,88.0,17.5,Kolkata,1,4,550000.0
Petrol,Hatchback,10519.0,2015.7157384987893,Maruti Swift,88.0,22.38,Kolkata,1,4,545000.0
Petrol,Sedan,50000.0,2014.0,Hyundai Verna,121.0,17.1,Kolkata,3,4,450000.0
Cng,Hatchback,19907.0,2015.7157384987893,Maruti Celerio,55.0,35.6,Kolkata,1,4,597000.0
Petrol,Hatchback,84771.0,2015.7157384987893,Maruti Swift,88.0,22.38,Kolkata,3,4,330000.0
Petrol,Hatchback,7000.0,2015.7157384987893,Honda Brio,86.0,16.5,Kolkata,3,4,595000.0
Petrol,Sedan,50000.0,2015.7157384987893,Honda City,117.0,17.4,Kolkata,1,4,500000.0
Diesel,Sedan,52000.0,2015.7157384987893,Audi A6,174.0,17.68,Kolkata,1,4,1075000.0
Petrol,SUV,15407.0,2015.7157384987893,Tata Nexon,118.0,17.33,Kolkata,1,4,835000.0
Petrol,Hatchback,50000.0,2009.0,Hyundai i10,78.0,20.36,Kolkata,3,4,175000.0
Petrol,Sedan,80000.0,2022.0,Ambassador,75.0,12.8,Kolkata,1,5,495000.0
Petrol,Sedan,58000.0,2015.7157384987893,Honda City,117.0,17.4,Kolkata,1,4,550000.0
Petrol,Sedan,14000.0,2015.7157384987893,Hyundai Verna,113.0,17.7,Kolkata,1,4,1025000.0
Petrol,Sedan,80000.0,2014.0,Hyundai Elantra,147.0,16.3,Kolkata,4,4,350000.0
Petrol,Sedan,45000.0,2015.7157384987893,Hyundai Elantra,149.0,14.59,Kolkata,1,4,775000.0
Petrol,Sedan,119236.0,2015.7157384987893,Maruti Swift Dzire,88.0,22.41,Kolkata,1,4,306000.0
Petrol,Hatchback,98074.0,2015.7157384987893,Maruti Baleno,83.0,21.4,Kolkata,1,4,432000.0
Diesel,Sedan,40330.0,2015.7157384987893,Mercedes-Benz C-Class,170.0,14.84,Kolkata,1,4,1080000.0
Petrol,Sedan,84989.0,2015.7157384987893,Maruti Swift Dzire,88.0,22.41,Kolkata,3,4,314000.0
Petrol,Hatchback,72017.0,2015.7157384987893,Maruti Wagon R,67.0,20.51,Kolkata,3,4,269000.0
Diesel,MUV,65002.0,2015.7157384987893,Maruti Ertiga,88.0,20.77,Kolkata,1,4,521000.0
Petrol,Sedan,85862.0,2015.7157384987893,Maruti Swift Dzire,88.0,22.41,Kolkata,1,4,342000.0
Petrol,Hatchback,70000.0,2011.0,Maruti Alto,46.0,19.7,Kolkata,3,4,150000.0
Petrol,Hatchback,48005.0,2015.7157384987893,Mahindra KUV 100 NXT,82.0,18.15,Kolkata,1,4,407000.0
Petrol,Hatchback,8625.0,2015.7157384987893,Hyundai Santro,68.0,20.3,Kolkata,1,4,460000.0
Petrol,Hatchback,10000.0,2020.0,Tata Altroz,86.0,19.33,Kolkata,1,4,725000.0
