Fuel_Type,Body_Type,Kilometers_Driven,Registration_Year,Car_Model,Ownership,Features,Engine_Power,Mileage,Car_Link,Price,Car_Age
Diesel,SUV,"10,000",2022,Kia Seltos,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",113.43bhp,18 kmpl,https://www.cardekho.com/used-car-details/used-Kia-Seltos-Gtx-Plus-Diesel-At-cars-Gurgaon_d4aa1aa7-0fbb-4da0-8aad-4644c5a32df8.htm,₹ 19 Lakh,2022
Petrol,SUV,"57,437",May 2016,Hyundai Creta,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",121.3bhp,15.29 kmpl,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Creta-1.6-Vtvt-S-cars-New-Delhi_444a8bad-3fd9-40dd-9d9d-a98405d0eada.htm,₹ 7.62 Lakh,2016
Petrol,SUV,"8,000",Dec 2020,Mercedes-Benz GLC,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",197bhp,12.74 kmpl,https://www.cardekho.com/used-car-details/used-Mercedes-benz-Glc-200-cars-New-Delhi_cd2bb867-7948-41d8-a752-533891921c67.htm,₹ 56 Lakh,2020
Petrol,Hatchback,"28,151",Jan 2019,Maruti Swift,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",88.50bhp,22.38 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Swift-Vxi-cars-Noida_0790cfdc-d46c-42c9-9cfd-172ec94b497b.htm,₹ 5.23 Lakh,2018
Petrol,SUV,"60,000",2017,Hyundai Creta,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",121.3bhp,15.29 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-Creta-1.6-Vtvt-E-Plus-cars-New-Delhi_b2871953-ac15-4afc-aae2-c4a2807152f9.htm,₹ 7.65 Lakh,2017
Petrol,SUV,"20,000",Jun 2021,Kia Sonet,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",81.86bhp,18.4 kmpl,https://www.cardekho.com/used-car-details/used-Kia-Sonet-Htk-Plus-Bsvi-cars-New-Delhi_0c18ad5c-22ee-4a19-8c8a-dc11ef135b16.htm,₹ 8.95 Lakh,2021
Cng,Sedan,"42,682",May 2022,Hyundai Aura,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",68.05bhp,28 km/kg,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Aura-S-Cng-cars-Noida_ed58af83-b47a-47de-a590-77caa5d1f16d.htm,₹ 7.08 Lakh,2021
Petrol,Hatchback,"44,653",Sept 2017,Volkswagen Polo,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Rear, Anti Lock Braking System, Centeral Locking",74bhp,18.78 kmpl,https://www.cardekho.com/used-car-details/used-Volkswagen-Polo-1.2-Mpi-Trendline-cars-New-Delhi_060a7eb9-4b1c-4f8d-878f-ad292c018f64.htm,₹ 4 Lakh,2017
Cng,Hatchback,"7,000",Feb 2022,Hyundai Grand i10 Nios,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Power Adjustable Exterior Rear View Mirror, Wheel Covers, Anti Lock Braking System, Centeral Locking, Radio",67.72bhp,,https://www.cardekho.com/used-car-details/used-Hyundai-Grand-I10-Nios-Magna-Cng-cars-New-Delhi_5cee4f96-fa3a-4493-9a09-67c5c685005f.htm,₹ 7.25 Lakh,2022
Petrol,Hatchback,"67,823",Nov 2019,Maruti Baleno,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",81.80bhp,21.01 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Baleno-Alpha-cars-Ghaziabad_4667a943-8238-4830-960e-3e42b58d4f0b.htm,₹ 6.63 Lakh,2019
Petrol,Hatchback,"50,000",Jun 2014,Honda Brio,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",86.8bhp,16.5 kmpl,https://www.cardekho.com/used-car-details/used-Honda-Brio-Vx-At-cars-New-Delhi_75a5139d-25ff-4cbb-8f02-e283b70c332c.htm,₹ 3.90 Lakh,2014
Diesel,SUV,"97,055",Apr 2019,Nissan Kicks,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",108.5bhp,20.45 kmpl,https://www.cardekho.com/buy-used-car-details/used-Nissan-Kicks-Xv-D-Bsiv-cars-Ghaziabad_bfe99ff8-7ba3-453b-80e3-f463e3c1c3c7.htm,₹ 7.84 Lakh,2019
