Fuel_Type,Body_Type,Kilometers_Driven,Registration_Year,Car_Model,Ownership,Features,Engine_Power,Mileage,Car_Link,Price,Car_Age
Petrol,Hatchback,"20,000",2022,Volkswagen Polo,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",108.62bhp,16.47 kmpl,https://www.cardekho.com/used-car-details/used-Volkswagen-Polo-1.0-Tsi-Highline-Plus-At-cars-Hyderabad_c1c5c744-98ac-4ff3-8534-8d53642e5f93.htm,₹ 10.44 Lakh,2022
Petrol,Hatchback,"85,582",Oct 2014,Hyundai EON,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Child Safety Locks, Driver Air Bag",55.2bhp,21.1 kmpl,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Eon-Era-Plus-cars-Hyderabad_3222426e-7661-4396-987c-5651682c01a1.htm,₹ 2.60 Lakh,2014
Petrol,SUV,"10,000",2023,Hyundai Venue,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",81.80bhp,,https://www.cardekho.com/used-car-details/used-Hyundai-Venue-S-Bsvi-cars-Hyderabad_7153b106-fcfa-48c0-a744-c235facacdce.htm,₹ 9.55 Lakh,2023
Petrol,Hatchback,"50,750",Mar 2017,Maruti Baleno,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",83.1bhp,21.4 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Baleno-1.2-Alpha-cars-Hyderabad_719ec4cf-95ca-447a-a320-eaf946f2f950.htm,₹ 6.71 Lakh,2017
Petrol,SUV,"10,000",2022,Mahindra Thar,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",150bhp,,https://www.cardekho.com/used-car-details/used-Mahindra-Thar-Lx-4-str-Hard-Top-At-Bsvi-cars-Hyderabad_7b3e3406-1f05-44c4-92b0-8ba4cf934006.htm,₹ 19 Lakh,2022
Petrol,SUV,"10,000",2021,Kia Sonet,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",118.36bhp,18.2 kmpl,https://www.cardekho.com/used-car-details/used-Kia-Sonet-Htx-Plus-Turbo-Imt-Bsvi-cars-Hyderabad_8f8e2515-1ffc-4fef-8601-cbdb42e1c5eb.htm,₹ 11.78 Lakh,2021
Petrol,Hatchback,"66,366",May 2017,Maruti Celerio,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",67.04bhp,23.1 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Celerio-Zxi-Optional-Amt-Bsiv-cars-Hyderabad_d1f43390-3c27-46cc-8cc6-bc3be0e7c7b0.htm,₹ 4.89 Lakh,2017
Petrol,Sedan,"5,000",2022,Hyundai Verna,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",118.41bhp,19.2 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-Verna-Sx-Opt-Turbo-cars-Hyderabad_c5aecb05-2c67-4bc6-9ae3-91790f9fb499.htm,₹ 15.41 Lakh,2022
Petrol,Hatchback,"72,544",Jun 2017,Maruti Celerio,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",67.04bhp,23.1 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Celerio-Zxi-Optional-cars-Hyderabad_849e4af0-61d1-4753-abec-cf8831382071.htm,₹ 4.65 Lakh,2017
Petrol,Hatchback,"29,154",Jun 2021,Ford Figo,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Rear, Anti Lock Braking System, Centeral Locking, Radio",94.93bhp,18.5 kmpl,https://www.cardekho.com/buy-used-car-details/used-Ford-Figo-Titanium-cars-Hyderabad_9464ccf3-e1b2-4028-95ef-4439003b402b.htm,₹ 7.28 Lakh,2021
Petrol,Hatchback,"70,000",2018,Tata Tiago,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",83.83bhp,23.84 kmpl,https://www.cardekho.com/used-car-details/used-Tata-Tiago-1.2-Revotron-Xza-cars-Hyderabad_aa2a8e88-a90d-485a-9f2c-426a6d366601.htm,₹ 5.30 Lakh,2018
Petrol,Hatchback,"33,730",Jan 2022,Datsun RediGO,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",67.05bhp,21.7 kmpl,https://www.cardekho.com/buy-used-car-details/used-Datsun-Redigo-1.0-T-Option-cars-Hyderabad_774734f9-9098-43f7-bc16-f2e665f8ae04.htm,₹ 4.66 Lakh,2021
Petrol,Hatchback,"51,113",Jun 2020,Renault KWID,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",67bhp,23.01 kmpl,https://www.cardekho.com/buy-used-car-details/used-Renault-Kwid-Climber-1.0-Mt-Opt-Bsiv-cars-Hyderabad_a93932c7-0984-4e4a-a046-3f4cff057304.htm,₹ 4.57 Lakh,2020
Diesel,Hatchback,"40,000",2013,Volkswagen Polo,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",73.9bhp,22.07 kmpl,https://www.cardekho.com/used-car-details/used-Volkswagen-Polo-Diesel-Comfortline-1.2l-cars-Hyderabad_630d6f1c-b107-493c-a0ab-1e14729f9101.htm,₹ 3.50 Lakh,2013
