Fuel_Type,Body_Type,Kilometers_Driven,Registration_Year,Car_Model,Ownership,Features,Engine_Power,Mileage,Car_Link,Price,Car_Age
Diesel,Hatchback,"1,20,000",2015,Hyundai i20,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",88.73bhp,22.54 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-I20-Asta-1.4-Crdi-cars-Jaipur_45904042-2f81-4956-9ccb-3808e9de44d7.htm,₹ 5.10 Lakh,2015
Petrol,Hatchback,"66,951",Jan 2012,Maruti Swift,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",88.50bhp,22.38 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Swift-Vxi-cars-Jaipur_613b5526-574e-466c-928b-61a638a5ca3d.htm,₹ 3.81 Lakh,2012
Petrol,Hatchback,"80,000",2016,Maruti Celerio,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks",67.04bhp,23.1 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Celerio-Vxi-At-cars-Jaipur_6d1b79a7-6bb5-4402-a54d-311bbd2a18e4.htm,₹ 3.20 Lakh,2016
Petrol,Hatchback,"44,392",Apr 2017,Hyundai Grand i10,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Speakers Front",81.86bhp,18.9 kmpl,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Grand-I10-1.2-Kappa-Magna-Bsiv-cars-Jaipur_4847732f-4871-4fe2-8882-72b650bfd184.htm,₹ 4.20 Lakh,2017
Petrol,Hatchback,"40,000",2016,Maruti Wagon R,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player",67bhp,20.51 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-Amt-Vxi-cars-Jaipur_172a0efa-7e28-4ba9-8e28-de35395bbc30.htm,₹ 3.50 Lakh,2016
Diesel,Sedan,"1,50,000",2007,Hyundai Verna,Second Owner,"Remote Trunk Opener, Remote Fuel Lid Opener, Air Conditioner, Heater, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",110 ,16.8 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-Verna-Crdi-cars-Jaipur_9d38533c-cbf6-40a1-b90a-b0db67b828e9.htm,₹ 1.50 Lakh,2007
Petrol,Sedan,"91,771",Jul 2016,Hyundai Xcent,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",82bhp,19.1 kmpl,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Xcent-1.2-Kappa-S-Celebration-Edition-cars-Jaipur_dcd29d3c-baed-4c89-aa41-922943f86a28.htm,₹ 4.89 Lakh,2016
Diesel,Sedan,"90,000",2011,Skoda Superb,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",138.1bhp,17.2 kmpl,https://www.cardekho.com/used-car-details/used-Skoda-Superb-Elegance-2.0-Tdi-Cr-At-cars-Jaipur_f2376709-ebb4-4623-967c-6ec07110a4bd.htm,₹ 4.25 Lakh,2011
Diesel,SUV,"58,621",Sept 2014,BMW X1,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",184bhp,17.05 kmpl,https://www.cardekho.com/used-car-details/used-Bmw-X1-Sdrive20d-cars-Jaipur_1e111fea-4ff5-440b-8cca-0851b0296b3a.htm,₹ 13.75 Lakh,2014
Diesel,Sedan,"90,000",2011,Skoda Superb,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",138.1bhp,17.2 kmpl,https://www.cardekho.com/used-car-details/used-Skoda-Superb-Elegance-2.0-Tdi-Cr-At-cars-Jaipur_139f0e94-5132-4cbe-8923-bd57023bf8cb.htm,₹ 4.50 Lakh,2011
Diesel,Hatchback,"1,20,000",2013,Hyundai i20,Third Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",88.76bhp,21.9 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-I20-Sportz-1.4-Crdi-cars-Jaipur_3cdc9928-94f5-4f5b-864e-3e70be99f4bb.htm,₹ 3.50 Lakh,2013
Diesel,Sedan,"1,20,000",2017,Tata Zest,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",74bhp,22.95 kmpl,https://www.cardekho.com/used-car-details/used-Tata-Zest-Quadrajet-1.3-75ps-Xms-cars-Jaipur_abd32de0-bdf8-40d3-97d6-e9e5135d93c3.htm,₹ 4.49 Lakh,2017
