Fuel_Type,Body_Type,Kilometers_Driven,Registration_Year,Car_Model,Ownership,Features,Engine_Power,Mileage,Car_Link,Price,Car_Age
Petrol,Sedan,"70,000",2014,Toyota Camry,Third Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",158.2bhp,19.16 kmpl,https://www.cardekho.com/used-car-details/used-Toyota-Camry-Hybrid-cars-Kolkata_0ece1255-6096-4708-8666-3d5dab9971b4.htm,₹ 9.75 Lakh,2014
Petrol,Hatchback,"23,981",Jul 2017,Datsun RediGO,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",53.64bhp,22.7 kmpl,https://www.cardekho.com/buy-used-car-details/used-Datsun-Redigo-T-Option-cars-Kolkata_bcde0b2e-1476-4910-ac44-55ef45d13d72.htm,₹ 2.66 Lakh,2017
Petrol,SUV,"7,100",Nov 2021,Renault Kiger,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",71.01bhp,19.03 kmpl,https://www.cardekho.com/used-car-details/used-Renault-Kiger-Rxt-Amt-cars-Kolkata_6b7c84d2-3cc9-4d68-a7a6-eed086a6dcda.htm,₹ 5.95 Lakh,2021
Petrol,Hatchback,"71,574",Feb 2012,Hyundai i20,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Fog Lights Rear, Power Adjustable Exterior Rear View Mirror, Centeral Locking, Power Door Locks, Cd Player",80 PS at 5200 rpm,17 kmpl,https://www.cardekho.com/buy-used-car-details/used-Hyundai-I20-1.2-Sportz-cars-Kolkata_8632942f-e48b-431f-be45-61883f47bce6.htm,₹ 2.23 Lakh,2011
Diesel,SUV,"50,000",2014,Audi Q3,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",174.33bhp,15.73 kmpl,https://www.cardekho.com/used-car-details/used-Audi-Q3-35-Tdi-Quattro-Premium-cars-Kolkata_827796f3-0618-4fd9-ba85-7866101f89ac.htm,₹ 12 Lakh,2014
Petrol,Hatchback,"35,629",Nov 2018,Maruti Wagon R,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",81.80bhp,20.52 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-Vxi-Amt-1.2-cars-Kolkata_89859c0a-db2a-4a8b-a327-d956d3436324.htm,₹ 4.25 Lakh,2018
Petrol,Hatchback,"11,476",Jun 2020,Hyundai Santro,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",68.05bhp,20.3 kmpl,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Santro-Sportz-Amt-cars-Kolkata_6850b966-0ecb-4221-a4f0-91663f039928.htm,₹ 5.96 Lakh,2020
Petrol,Hatchback,"31,000",Oct 2018,Renault KWID,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",53.3bhp,25.17 kmpl,https://www.cardekho.com/used-car-details/used-Renault-Kwid-Rxt-Optional-cars-Kolkata_f951198c-d831-4adf-82a8-42bacb0b1999.htm,₹ 2.50 Lakh,2018
Petrol,Sedan,"41,005",Aug 2011,Maruti Swift Dzire,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Fog Lights Front, Fog Lights Rear, Centeral Locking, Power Door Locks, Cd Player",85.8bhp,17.5 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-Vxi-cars-Kolkata_530532ef-499a-4fd8-8fda-8c5152044352.htm,₹ 2.21 Lakh,2011
Petrol,Hatchback,"60,055",Jun 2010,Maruti Wagon R,First Owner,"Low Fuel Warning Light, Rear Seat Headrest, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Child Safety Locks, Day Night Rear View Mirror",67.1bhp,18.9 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Wagon-R-Lx-Bs-Iv-cars-Kolkata_4d6041b6-275b-4967-b61e-69fb1952f4aa.htm,₹ 2.08 Lakh,2010
Petrol,Hatchback,"65,005",Nov 2013,Maruti Swift,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks",85.8bhp,18.6 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Vxi-cars-Kolkata_198887eb-4b94-496b-bcec-5494334ebf92.htm,₹ 3.11 Lakh,2013
Petrol,Hatchback,"2,657",Jun 2022,Renault KWID,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",53.26bhp,22.3 kmpl,https://www.cardekho.com/buy-used-car-details/used-Renault-Kwid-Rxt-cars-Kolkata_8b2c25d6-5ea0-4094-9110-3029c02da447.htm,₹ 4.64 Lakh,2022
Petrol,Hatchback,"16,000",Apr 2011,Hyundai i10,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks",68.05bhp,19.81 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-I10-Magna-1.1l-cars-Kolkata_e1ecd3c2-3b69-4250-bbd3-bf6ce8dae9db.htm,₹ 2.05 Lakh,2011
Diesel,SUV,"7,426",May 2023,Tata Harrier,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",167.67bhp,14.6 kmpl,https://www.cardekho.com/used-car-details/used-Tata-Harrier-Xza-Plus-At-Bsvi-cars-Kolkata_4d30259b-cb18-45a3-9ab9-733b3ccf5d2c.htm,₹ 21.75 Lakh,2023
Petrol,Hatchback,"27,046",Mar 2018,Maruti Baleno,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",83.1bhp,21.4 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Baleno-1.2-Cvt-Delta-cars-Kolkata_cf39a616-fbed-4467-b49f-9f38d19a5d50.htm,₹ 6.43 Lakh,2018
Diesel,SUV,"30,100",Aug 2021,Toyota Fortuner,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Dvd Player",174.5bhp,15.04 kmpl,https://www.cardekho.com/used-car-details/used-Toyota-Fortuner-2.8-4wd-At-cars-Kolkata_f072e862-a5b1-47e7-acbe-3fedf0e4cf44.htm,₹ 37.50 Lakh,2021
Petrol,Hatchback,"9,000",Nov 2022,Maruti Wagon R,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking",65.71bhp,24.35 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-Lxi-Bsvi-cars-Kolkata_af25b35a-e797-461f-949d-d4c0da334932.htm,₹ 5.45 Lakh,2022
Petrol,Hatchback,"17,000",Feb 2022,Hyundai i20,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",81.80bhp,21 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-I20-Sportz-Bsvi-cars-Kolkata_1db71120-f0c5-40b3-acb9-9c8b5dd0d7cb.htm,₹ 7.50 Lakh,2022
Diesel,SUV,"49,200",Jan 2021,Jeep Compass,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",170bhp,17.1 kmpl,https://www.cardekho.com/used-car-details/used-Jeep-Compass-2.0-Longitude-Option-At-cars-Kolkata_c0304253-39d5-493f-a7a9-dad24f9e6838.htm,₹ 16.50 Lakh,2021
Petrol,Hatchback,"35,000",Jan 2009,Hyundai i10,Second Owner,"Power Steering, Remote Trunk Opener, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Child Safety Locks, Passenger Side Rear View Mirror",68.05bhp,19.81 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-I10-Era-cars-Kolkata_40c6abb8-223b-44d5-ab80-e93d4c394b1d.htm,₹ 2.25 Lakh,2009
Diesel,SUV,"30,000",2020,Land Rover Range Rover Evoque,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Speakers Front",245.4bhp,,https://www.cardekho.com/used-car-details/used-Land-Rover-Range-Rover-Evoque-2.0-R-dynamic-Se-Diesel-2020-2021-cars-Kolkata_79830652-8c3e-4e69-a032-d9a7a4f76e73.htm,₹ 59.90 Lakh,2020
Petrol,Hatchback,"54,044",Nov 2017,Maruti Alto K10,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",67.05bhp,23.95 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Alto-K10-Vxi-Optional-cars-Kolkata_1b32894c-0fbc-4c47-a01c-63c9872de4d5.htm,₹ 3.15 Lakh,2017
Petrol,SUV,"6,500",Mar 2021,Tata Nexon,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",118.35bhp,17.33 kmpl,https://www.cardekho.com/used-car-details/used-Tata-Nexon-Xm-Bsvi-cars-Kolkata_41459eae-dae7-46d2-aaec-20525912b111.htm,₹ 7.99 Lakh,2021
Petrol,Sedan,"29,159",Mar 2017,Maruti Ciaz,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",91.1bhp,20.73 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Ciaz-Vxi-Option-cars-Kolkata_0b649050-9e38-48ca-b91c-381c024f882e.htm,₹ 5.26 Lakh,2017
